,driverId,grid,positionOrder,points,statusId,year,round,circuitId,top_3,top_3_label,top3_driver_season_percentage,driver_avg_finish_pos_season,Constructor_Top3_Percent,Top_3_at_circuit,round_max_last_szn,top3_driver_season_percentage_lag,driver_avg_finish_pos_season_lag,Constructor_Top3_Percent_lag,round_lag
19881,579,1,1,9.0,1,1951-01-01,1,66,True,yes,0.0,0.0,0.0,0.0,7.0,60.0,4.780487804878049,62.5,7.0
19882,579,1,1,9.0,1,1951-01-01,1,66,True,yes,0.0,0.0,0.0,0.0,7.0,60.0,4.780487804878049,62.5,7.0
19883,641,6,2,6.0,1,1951-01-01,1,66,True,yes,0.0,0.0,0.0,0.0,7.0,0.0,6.583333333333333,62.5,7.0
19884,642,2,3,4.0,1,1951-01-01,1,66,True,yes,0.0,0.0,0.0,20.0,7.0,40.0,5.962962962962963,62.5,7.0
19885,763,4,4,3.0,11,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,7.75,62.5,7.0
19886,640,5,5,2.0,12,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,12.142857142857142,3.571428571428571,7.0
19887,647,7,6,0.0,12,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,33.33333333333333,8.5,20.0,7.0
19888,647,7,6,0.0,12,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,33.33333333333333,8.5,20.0,7.0
19889,589,19,7,0.0,12,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,25.0,13.538461538461538,3.571428571428571,7.0
19890,475,14,8,0.0,12,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19891,627,8,9,0.0,13,1951-01-01,1,66,False,no,0.0,0.0,0.0,25.0,7.0,33.33333333333333,11.068965517241379,6.666666666666667,7.0
19892,741,12,10,0.0,13,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,11.2,6.666666666666667,7.0
19893,723,10,11,0.0,13,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19894,501,17,12,0.0,14,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19895,660,18,13,0.0,17,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,11.31578947368421,6.666666666666667,7.0
19896,764,21,14,0.0,45,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,11.5,6.666666666666667,7.0
19897,687,9,15,0.0,3,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,50.0,14.777777777777779,20.0,7.0
19898,765,11,16,0.0,3,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,16.0,6.666666666666667,7.0
19899,725,20,17,0.0,121,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19900,704,15,18,0.0,80,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19901,633,3,19,0.0,3,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19902,498,13,20,0.0,94,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19903,721,16,21,0.0,69,1951-01-01,1,66,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19904,766,2,1,9.0,1,1951-01-01,2,19,True,yes,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19905,673,7,2,6.0,1,1951-01-01,2,19,True,yes,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19906,658,3,3,2.0,1,1951-01-01,2,19,True,yes,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
19907,612,31,4,3.0,1,1951-01-01,2,19,False,no,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
